,review,sentiments
129,"Secara umum, fasilitasnya bagus. Kamar nyaman, bersih dan sangat luas, cocok untuk keluarga. Ada beberapa kamar yang ventilasinya kurang baik, membuat cahaya dari luar yang bisa masuk ke dalam ruang kamar, sangat minim. Sarapan enak, dan â€¦",positif
130,Jeleeeekkk banget.saya pesan ditokopedie junior suit eh di down grade secara sepihak jadi deluxe dan saya harus membayar dengan harga yang sama dengan alesan tokopedie /booking.cok telat ngasih konfirmasi ke hotel pdhal ga mungkin â€¦,negatif
131,"Pelayanan bagus, kamar bersih termasuk kamar mandi, nyaman, sarapan nya juga enak2",positif
132,"Tampilan luar ok lah, tp kmr bau apek, sprei ada bercak2 sprti bekas air, ac kurang dingin pdhl udh 18Â° C, kmr mndi bocor, air bau, kolam renang bagian dr fasilitas hotel, jd hrs bayar lg, di kolam renang bnyak tomcat, dasar kolam berlumut, jacuzi 5dk berfungsi dan kotor, sarapan terbatas",positif
133,"Expektasi dan realita tidak sebanding, di kamar temboknya berjamur dan kurang bersih, ac nya tidak dingin, ruangan kurang kedap suara sehingga suara dari lorong hotel maupun suara kendaraan cukup terdengar ke ruangan kamar dan cukup â€¦",positif
134,4hari sudah syg kolam renang blm fungsi lg renopasi,negatif
135,"Kamar mandi bocor, basah banjir dr pertama datang, tidak ad teko listrik dan telepon di kamar, breakfast jam 8 habis tidak direfill, banyak yg tidak kebagian",positif
136,"air panas tidak ada tidak di kasih tau, tembok kamar cat berbelanja luntur, sinyal tv tidak bagus,  kamar mandi tidak sedia kan sikat gigi, bakal sarapan nya juga kurang enak telor pin limited aku jam 7 turun sudah tidak ada lagi, merasa kamar harga 550rb dapat fasilitas kayak gini NOT WORTH IT",positif
137,"Overall, harga tidak sesuai dengan layanan

Tidak ada pemanas air dan teh/kopi di kamar, tidak ada telpon untuk memesan â€¦",negatif
138,"Mantaap, lokasi strategis di pusat kota, nyaman untuk isirahat atau tempat singgah, tarif bersaing.",positif
139,"Hotel yg cukup strategis, dekat ke pusat kota. Sarapannya cukup enak, namun kebersihan room'nya perlu ditingkatkan. Cek harga terbaik dari online travel agent aja.",positif
140,Salah satu hotel di Kota Tasikmalaya yang bisa dijadikan opsi untuk menginap. Harga terjangkau sehingga sering digunakan untuk berbagai macam pelatihan. Tapi sayang di kamar yg saya tempati air panas tidak berfungsi lalu tembok kamar â€¦,negatif
141,"Kamar nya luas. Tapi terkesan agak gak terawat, kebersihan standar. Makanan sarapannya kurang variasi. Untuk rasa makanannya lumayan.. tadi sarapan makan nasi kuning uduk, tahu tempe dan ikan gurame...",positif
142,"Buat harga segini yaa lumayan aja, cuma klo buat sampo aja masa ga dikasih.... Cuma sabun cair , pasta & sikat gigi ... Klo hand body mah ga masalah yaa.... Keset dpn kamar mandi ga nyerap air.... Jd kamar ikutan becek ğŸ™Š, breakfast nya kurang enak ğŸ™ â€¦",negatif
143,"Lokasi berada di pinggir jalan yang dilalui 2 mobil. Namun saya sedikit bingung saat pertama ke tempat ini karena landmarknya tidak cukup terlihat.
Pelayanan yang diberikan baik dan ramah. â€¦",positif
144,"Kamarnya nyaman hanya saja untuk sarapan harus datang lebih awal karena jam setengah 8 makanan sudah tinggal sedikit, tetapi ada alternatif dengan membeli makanan yg tersedia di hotel.",positif
145,Bagus hotelnya parkir luas cuma wifi nya jelek bangeut parah,negatif
146,"Ada rekomendasi dari temen.cobain deh hotel citi, setelah aku survey, boleh juga hotel nya besar rapi dan bersih...klu tuk tidur ya...tapi sayang air panas tuk minum nya di luar lorong pintu,, klu bisa sih saran dari sy, disediakan semacam pemanas air minum nya di dalam kamar...soal nya aku penikmat kopi,,,terima kasih",positif
147,"Hotel dengan lokasi yang sangat strategis ditunjang dengan pelayanan yang optimal dari pihak hotel. Dengan harga per kamar yang cukup murah ditunjang dengan fasilitas yang cukup memuaskan, tersedia cafe juga kolam renang menjadikan nilai â€¦",positif
148,"Saya terkejut pada saat check in tgl 23 September 2019, ternyata status twin bed room yang saya sdh pesan dari Traveloka, ternyata sdh diisi dgn tamu lain. Semoga menjadi masukan dan perhatian serius bagi Manajemen City Hotel Tasikmalaya dan Traveloka, supaya hal demikian tidak terulang kembali. Semoga bermanfaat dan terimakasih",positif
149,"Hotel yang terletak dipusat kota tasikmalaya, mudah dijangkau dari akses dimana saja.
Hotel ini cocok sekali untuk menginap bersama teman ataupun bersama keluarga â€¦",positif
150,"tdk sesuai ekspektasi. tv buram ga bs nonton apa apa, satu selimut tipis, 2 guest rebutan. sarapan yg di hidangkan dingin, buah yg d hidangkan tdk segar. tdk cocok sama harga nya yg agak mahal. semoga bs di perbaiki.",negatif
151,"Hotelnya cukup lengkap untuk harga yang dipasarkan. Ada lift untuk kelantai atas dan juga tersedia tangga yang cukup unik.
Ada kolam renang, gym dan sauna. â€¦",positif
152,"Tempatnya ga terlalu luas dan sangat di sayangkan wcnya bau pembuangan dan kamarnya pas masuk bau rokoknya juga. Tpi, gapapa lumayan enak tempatnya.",positif
153,"Sabtu, 7 maret. Sarapan dengan menu chicken teriyaki menggoda, ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘buat koki nya. Rasa manis diawal dan pas di gigit asin nya dapat.  Best pokoknya koki nya.  Nanti kalo saya kesini lg kita berbincang sambil ngopiğŸ‘ â€¦",positif
154,Wifi dan pelayanan tlg diperbaiki,negatif
155,"Pada masa sebelum pandemi saya yakin ini hotel ramai dan bagus, saat ini sangat di sayangkan fasilitas hotel bnyk yg kurang maintenance tp saya maklum,dengan segala keterbatasannya saat ini semangat terus  untuk berdoa ya spy pandemi segera usaiğŸ™ğŸ™ğŸ™ â€¦",positif
156,Pelyanan perlu di tingkatkan lagi shower kadang ga berfungsi,negatif
157,"Jujur sangat mengecewakan, air nya hitam tidak bisa digunakan untuk mandi bahkan cuci muka pun ga bisa. Kamarnya kecil, kamar mandinya rusak, bantalnya spt bantal sofa, chanel tv dikit dan ga ada air panas. Sangat mengecewakan dg harga 300rb",negatif
158,"Parkir luas...sarapan ok. Cuma kamar mandinya kurang bersih, mungkin lantainya baru diperbaiki. Harga terjangkau dan ditengah kota",positif
159,Debenernya hotel ini udah berusaha keras untuk menjadi bagus cuma tetap sebagai tamu gw merasa hotel ini tidak sesuai dengan harganya â€¦,positif
160,"Hotel Bintang 3.? Ini Mah Kelas Melati Bergedung,Baru Tau Selama NgeHotel Di Tasik Kalo Mau Renang Bayar 15Rb Untuk Tamu Hotel Dan Gym Juga...Ngakak Ini Managementnya,Mending Yang Mau Hotel horison Grang Metro,Atau Santika Aja Gua Selalu Di â€¦",positif
161,"Nyaman...apalagi sekarang pembangunan fasilitasnya d tambah,semakin nyaman ,abis nge gym bisa langsung renang....",positif
162,"Ga ada telpon di kamar. Resepsionis bilang sarapan sampe jam 10, tapi jam setengah 10 udah bersih ga ada apa2. Kamar mandi sama kondisi kamar lumayan bersih. Tapi tv nya kesemutan. Ya lumayan sih harganya murah",positif
163,Kepaksa menginap disini karena hotel biasa tempat menginap full booked. Untuk harga yg ditawarkan sy merasa kecewa. Sangat jauh kualitasnya. Sprey kumal sarung bantal bau. Penerangan kamar kurang. Kamar mandi kotor. Pera kali masuk  kamar â€¦,negatif
164,"Sedikit review untuk ""City Hotel Tasikmalaya""

Untuk hotel bintang 3 Di Tasikmalaya cukup fasilitas. â€¦",negatif
165,"kalau ke tasik pasti nginep disini, rate room terjangkau plus dapat sarapan, kamar bersih dan nyaman, lokasi hotel dekat dengan pusat kota, tapi sayang kolam renangnya masih bayar walaupun pengunjung hotel.",positif
166,"Waktu saya check in di City Hotel Tasik, maaf spreynya bau Apek, kamar mandi bau, Handuk sobek. Kolam renang airnya kotor,  Wifi g masuk kamar.  Sebenarnya ini hotel yang bagus loh. Tapi karena fasilitasnya kurang mendukung.... Aiih saya jadi kapok dech, ga mau nginep lagi di city Hotel ğŸ˜¢ğŸ™ â€¦",negatif
167,"Ga enak lagi. Pesan kamar twin dikasih single bed, alasan kunci kamar twin rusak. Kamar bau rokok lekat di pakaian dan rambut. Kunci kamar mandi jebol. TV kecil dan saluran cuma 4 TV Nasional yg tertangkap. Semalam aja disini lalu pindah hotel.",negatif
168,"Sangat sangat mengecewakan kamar kotor sapaan habis pdhl mash pagi
Hotel dg hrga segitu hrsny tdk bikin tamu hotel kapok",negatif
169,"Parah. Bocor di kamar, di lobby ga begitu bagus sih  waktu itu kolam renang nya belum bisa dipakai. Ga sesuai sama harga",positif
170,"pelayanan OK,  kamar nyaman,  kamar mandi bersih,  meskipun harus nunggu sampai 20mnt klo mau pakai air panas,  AC dingin,  sarapannya enak,  sayang,  klo cafe nya 24jam pasti enak buat nongkrong, karena klo lapar susah cari makan tengah malam",positif
171,"Buat para pelancong yang berwisata ke Kota Tasikmalaya hotel ini bisa jadi pilihan untuk menginap. Tempatnya bagus, bersih, harganya pun cukup bersahabat. Ada aula buat rapat juga. Parkiran cukup aman dan luas.",positif
172,"Hotel untuk nginep anak2, lumayan",positif
173,"Lumayan lah sesuai budget. Sebenernya hotelnya bagus sih, cman kurang terawat saja. Semoga kedepannya bisa lebih baik lagi.",positif
174,"Umtuk ukuran tasik sudah cukup bagus,  hotel cukup dengan budget kami,

Kamar luas â€¦",positif
175,Cukup nyaman utk bangunan sepertinya renovasi dari bangunan tua... kl stay dikamar sendirian liat keluar jendela mlm2 cukup menyeramkan. Hrs bykin penerangan lg,negatif
176,"Ku kasih bintang 4, entah cuma kamarku saja yg air panas di kamar mandinya ga bisa lama panasnya.",positif
177,"Baru kali ini ke hotel tapi untuk menikmati fasilitas nya, bayar lagi.
Ke kolam renang dan fitness nya harus beli tiket dan bayar lg. Sarapan standar lah.",positif
178,menyenangkan... pelayanan ok tmpt ok tidak jauh dari kota.... pertahankan pelayanan pelanggan... saya suka sekali... mudah2an sy nanti dpt diskon hehe,positif
179,"Amit amit jabang bayi....nyesel bgt nginep di sini...mau berenang bayar..mau nge gym bayar...kata nya fasilitas hotel gak tau nya semua serba bayar..kamar gelap, gak ada telpon, AC gak dingin,kunci di kasih satu doang..ngaku nya hotel â€¦",positif
180,"Kamarnya apek, agak sedikit noda noda di sprey.
Wallpaper udah pada ngelupas. Jadi terkesan kumuh",negatif
181,"Sarapan baru sejam sudah ludes, banyak yg tidal kebagian sarapan, 2 hari berturut turut menunya sama, kamar mandi kotor",positif
182,"Tidaks sesuai dg harga yg ditawarkan....  Kamar superior triple kotor berdebu, tidak ada slipper,  sarapan payah (;crew resto lelet)  ğŸ‘ğŸ‘ğŸ‘ğŸ‘ â€¦",negatif
183,"Ni hotel brisik banget ya, mana ruangan kamar tidak kedap suara. Blm cocok kalau hotel ini bintang 3",positif
184,Kurang rekomendasi utk hotel ini .....fasilitas tdk sesuai dgn yg ditawarkan....kolam renang bayar tersendiri....kebersihan kamar kurang memadai...dibawah tempat tidur kotor sekali....tidak sesuai dgn predikat hotel berbintang 3 pada umumnya.....,negatif
185,Kumuh.. banyak tikus. Semoga beres pandemi bisa diperbaiki.. terutama fasilitas kolam renangnya,negatif
186,"City hotel.. kamar luas bersih ok nyaman, palayanan baik dan ramah loksi pusat kota tasikmalaya..",positif
187,"Pelayanannya ramah, kamar bagus cm agak kurang bersih aja seprai dan sarung bantal agak bau. Selimutnya tipis dan kecil buat berdua.",positif
188,Airnyaa sempet kotor sampai gak bisa mandi. Sempet tanya ke staff tpi disuruh nunggu. Sampai mau chek out air masih kotor.,negatif
189,Pelayanan lumayan,positif
190,"Pelayanannya kurang enak, kamar mandinya kotor, di kamar gak ada telepon,..gak ada kantin. Gak ada pemberitahuan sarapan,ac nya gak terlalu dingin, Chanel tv nya pada gak bening.. gak recomend bnget..",negatif
191,"Selama nginep di hotel kyaknya tempat ini yg kurang baik, gak ada teapot, gak ada air panas, closet nya macet... Hdeuh,  2019 balik lagi ke hotel ini saya kira lebih baik, pelayanan lebih parah,  ac bocor kamar kayak kolam,  wc mampet,  pelayanan jelek...  Woi manajemen tolong masih mau berbisnis  jasa kan??",negatif
192,"Hotel yg lumayan untuk kota Tasikmalaya. Harga lumayan kompetitif. Tapi sayang dinding kamar retak2. Tidak ada telp internal, sehingga kalau mau ke resepsionis harus ke bawah. Selebihnya sih oke. Everything works well!",positif
193,Entah kenapa..per bulan ini(katanya) . Fasilitas kolam renang buat yg menginap pun berbayar..harga disamakan dengan pengunjung luar ga mahal sih.... Cuman harus down grade ini kelas hotelnya... Ckck,positif
194,"Lokasinya strategis,  kamarnya nyaman dam bersih, ada caffe di roof,  enak buat santai menikmati indahnya tasikmalaya,  maaf kasih 4 bintang dulu,  kolam renangnya kotor,  warnanya hijau seperti ada lumutnya,  jadi ga bisa pakai fasilitasnya",positif
195,"Aku suka dg pelayanannya, kamarnya bersih dan nyaman â¤ï¸",positif
196,"Hotel di Tasikmalaya yang mudah diakses pengunjung karena lokasinya strategis dekat dari pusat kota. Fasilitas hotel dan sekitar hotel lumayan komplit,sangat memudahkan tamu hotel. Ada area fitness nya buat pengunjung yang ingin santai sambil berolahraga. Harga bersaing dan sangat terjangkau.",positif
197,"Makanan sebelum jam 10.
Bahkan jam 8 saya makan sudah habis semua
Dan bilang sudah habis â€¦",negatif
198,"Hotel maksain, bangunan belum jadi udah buka. Mana air nya bau. Berisik banget banyak nyanyi2 ga puguh.",positif
199,"Fasilitas ok si dari mulai room, breakfast nya ok lah untuk harga yg sesuai kantong, cuma kolsm renangnya kotor and bsngku2 tmptnongkrong nya ada yg rusak, all si puas",positif
200,"Toiletnya kurang bersih, yg lainnya cukup nyaman",positif
201,"Kepada pengelola, tolong diperhatikan ada nya sampah di koridor, perbaikan dinding dan bagian2 pada kamar, shower, saluran tv yg tdk bagus, handuk, sprey pada extra bed, cara personil hotel dlm memberikan pelayanan dll.",negatif
202,"Enak deket kota, tapi kamar saya kotor, mejany berdebu kyk ga dibersihinğŸ˜­ â€¦",negatif
203,"Bagus, murah, strategis, kamar luas, front office ramah... Makanan enak, hanya kurang variatif, utk kamar mandi lumayan utk handuk mungkin perlu pengadaan baru...",positif
204,Lumayan lah utk hotel terjangkau. Hanya yg membuat tidak nyaman adalah kamar mandinya yg nyaris transparan sehingga tdk nyaman kalau menginap bersama teman,negatif
205,Sesuai,negatif
206,"Tidak sesuai iklan.
Air kotor banget, kamar kurang bersih dan kumuh, kamar bau rokok, wifi ga lancar. Semua tidak sesuai iklan. Secara keseluruhan not recommended",negatif
207,"Hotel tai, saluran tv jelek kamar bau masa kolam renang bayar lagi harga segitu harus nya udh sama fasilitas kolam renang mending kalo kolam renang nya bersih inj sampah di mana mana, mahal tp tidak berkelas banyak hotel yg harga segitu udh ada fasilitas renang nya,",negatif
208,"Lokasi: pusat kota, harga: terjangkau, pelayanan: bagus, kebersihan: bersih, ada kolam renang, tempat gym, sarapannya cukup bervariasi tapi harus pagi- pagi soalnya suka kehabisan, perbaiki ya pihak hotelnya.",positif
209,"Hotelnya tidak memuaskan, kamar gelap, kamar mandi sudah kotor banyak karat, pintu kamar mandi sudah aga rusak, air tidak panas, toilet jelek di dalamnya kotor banyak bekas karat harusnya sih diganti baru, sabun mandi hampir habis, shower â€¦",negatif
210,Enak buat santai sambil denger musik live bersama Om Dudi player nya....,positif
211,"Hotel cukup besar dari jumlah kamar namun pelayanan kurang Dan beberapa complain tamu terdengar, poin plus Ada di harga yg murah Dan relatif dekat alun2",positif
212,Ruangan rapat nya bagus.. Hanya waktu coffe break dan makan selalu kehabisan gatau karena makanan di pas atau pesertanya banyak yang kelaperan :'(,positif
213,Pemanas air belum menggunakan sistem central water heater. Jadi kalo mau mandi air panas jangan lama lama ya,positif
214,"Tempatnya nyaman dan lumayan murah untuk paket meeting room, cuma toilet umum nya agak kotor dan kebetulan lagi renov jadi agak berantakan",negatif
215,"Selama 1 minggu nginap di city hotel ,sangat memuaskan,thanks!",positif
216,"Terbaik di harga ini, perhatikan kebersihan dan bau ruangan kamar  jamgan karena terlalu murah mengorbankan segalanya, semiga bisa ditingkatkan, sukses selalu",positif
217,"sarapan kurang enak, saluran tv cuma 3 atau 4 chanel aja dan ga bersih siaran ya, mau chek out harus di cek dulu kamar nya baru tanda pengenal di kasihkan, takut ada yg ......",negatif
218,"Harga murah,kamar bersih, pelayanan good",positif
219,Harga terjangkau. ,negatif
220,"Lokasi pusat kota..,dekat dengan central kuliner, tempat nyaman, pelayanan cukup baik..",positif
221,sangat memuas kan,positif
222,"Nyaman,bersih,fasilitas komplit,lokasi dekat pusat kota",positif
223,Lumayan murah harganya.. tapi sarapannya terbatas pilihanny . Dan tudak ada teko di kamar harus meminta dulu kepada pegawainya,positif
224,Tempatnya berantakan... Kamarnya tdk nyaman...,negatif
225,"Banyak promosi, tetapi kebersihan kamar wajib jadi perhatian manajemen hotel. Urusan sarapan masih kurang beragam.",positif
226,"Makanan enak,kamar bersih tapi lembab pas masuk bau jamur",positif
227,"Pegawai receptionist nya kurang ramah, pas mau masuk kamar masa bau rokok, sarapan nya masa sama mie benyek duh diluar ekspektasi bngt ğŸ˜£ â€¦",positif
228,"Dapet kamar yg bocor, air flas bau comberan, breakfast jam set8 sudah habis. Selebih nya ok",positif
229,"Dikemas dalam kemasan berkelas,tapi sayang pelayanan nya kurang memuaskan saya minta kopi aja ga dilayanin mungkin karena saya visitor lokal,boyroom nya kurang sopan saya minta petunjuk nomor kamar aja ga di anterin ampe nyasar ke lantai 3 â€¦",negatif
230,Rooftopnya enak. Tempatnya klasik. Masih ada tangga panjang yang cocok untuk foto prewed.,positif
231,"Parah! Ga akan ke sini lagi.. ga sesuai dengan harganya! Kamar bau wc, bau rokok, manajemennya ampun deh, bfast hotel pertama yang ga saya makan seumur hidup karena ga menarik sama sekali.",positif
232,"1. Pintu kamar mandi kamar 258 rusak
2. Lampu tidur kamar 258 mati sebelah
3. Kolam renang airnya keruh(tidak jernih) â€¦",negatif
233,"not recommended hotel
sangat buruk
saya sampai tdk mandi pagi sebelum check out krn air kotor sangat hitam â€¦",negatif
234,Hotelnya kotor. Baik di roomnya mau di setiap lorong hotelnya. Wifinya jg jelek. Saya sarankan anda tidak usah menginap di hotel ini.,negatif
235,"Mantul suasana yg tenang tanpa suara bising Dr kendaraan, hbs nge gym bisa langsung renang....ğŸ’ªğŸ‘ â€¦",positif
236,"Hotel yg wajib di kunjungi klw ke tasikmalaya , harga murah  , fasilitas oke , wi-fi kenceng , kolam renang rooftop nya keren dgn pemandangan gunung galunggung , mushola nya bersih, lift bagus , breakfast sistem prasmanan dengan menu komplit enak , dekat dengan pusat kota",positif
237,"Hotel dkt pusat kota namun di kamar perlu dilengkapi alat pemasak air, air panas utk mandi pagi tdk berfungsi dan tv gambarnya tdk j3las. Mohon ditingkatkan pelayanannya",positif
238,"Tempatnya bagus,kolam renangnya kurang bersih(berlumut),klo blh saran tehnya diberi gula&menu kurang enak. Mohon pelayanan semakin ditingkatkan lg.",positif
239,"Baik. Kekurangannya saat penggunaan air panas harus menunggu sampe 10-15 menit
Kamar 237 aromanya spt deket pembuangan tinja",positif
240,Hotel yang strategis bagi para pelancong,negatif
241,Sangat tidak nyaman istirahat kami krn br ada proyek pembangunan... Suara gerinda waktu saya masih istirahat dan palu...,negatif
242,"Bad service,air panas ga nyala,sarapan msh mendingan di warteg,kolam renang ga bisa dipakai,lampu kamar ampir mati(bukan redup on purpose)",negatif
243,Pelayanannya bagus. ,positif
244,"Ini hotel dekat dengan pusat kota, makanan yg disajikan saat breakfast juga enak , staff nya ramah., fasilitas Gym , kolam renang dan yg terpenting bisa Sauna juga ., enak banget ., Pulang kerja ke hotel bisa langsung coba Sauna nya ., staff nya juga ramah banget dan very helpful ., Thank you",positif
245,Hotel dg harga yang murah dengan ambience yang cukup nyaman.  Pemandangan dari rooftop di sore hari menjadi nilai plus. swimming pool serta gym nya juga oke.,positif
246,"Terdapat meetingroom yang Cocok buat kegiatan Pelatihan, maupun kegiatan meeting lainnya. kamarnya baik bersih, makanannya enak. kamar keluarga dengan kasur doble",positif
247,"Masjid dan toiletnya kedepan bisa lebih nyaman lagi...
Kalau kamarnya mah oke lah, gedung pertemuannya jg nyaman.",positif
248,"Paraah fasilitasnya, pelayanan nya juga gak maksimal, hanya pelayanan parkirnya aj ygvbagus",negatif
249,"Jika yang belum pernah ke Korea, berkunjunglah kesini, Soul in Dago Bandung",negatif
250,Toilet yang dekat musholla airnya kurang lancar dan agak kotor. Lantai Tempat wudhu musholla tergenang air hingga kurang nyaman ke kaki.,negatif
251,"Hotel Baru, kamarnya nyaman, lobi luas, Hanya saja wifi internet lemot. Semoga management meningkatkan kualitas internet wifi yang disediakan, jangan Hanya kamar dekat lobi. Tq",positif
252,"Jorok gak bersih banyak sarang laba""",negatif
253,"Cukup nyaman, sebaiknya ada lokasi khusus perokok saat breakfast, agar tidak menggangu tamu yg lain",positif
254,Kebersihan kurang terutama untk d bagian kamar mandi meeting room yg d lantai 6. Dan dalam lif juga banyak sampah.a,negatif
255,"Hotelnya lumayan bagus, harga terjangkau sayang pelayan di resto sangat tdk ramah dan mengecewakan....SDM nya tidak berpendidikan",positif
256,Sederhana dan cukup nyaman,positif
257,Lumayan bagus hotel di tasik ini.harganya cukup murah dengan menu breakfast yang bervariatif Dengan staf dan keamanan yang ramah. Good,positif
258,"City hotel waktu pertama masuk kurang menarik tapi setelah masuk tÃ©rnyÃ ta enak dan suasana menyenangkan tempat pertemuan enak apalagi lt 5 ada kolÃ m renang dan gym .harga terjangkau.bisa selfie
.",positif
259,Pelayanannya ğŸ‘ğŸ½ kamar bersih.. sarapan nya enak.. â€¦,positif
260,"Kecewa sama kolam renangnya, keknya tiap kesana mesti pas kotor terus deh. Gak pernah di bersihkan kah?",negatif
261,"nyaman, sangat cocok untuk melepas lelah saat liburan ke tasik.

kolam renang,, terlalu dalam buat anak"".",positif
262,"Buat hotel budget.. kamar gak ada telepon, kasur serasa apek, kamar agak gelap.. Atap kamar tinggi.. Jadi lega. Posisi strategis mudah dijangkau dan dekat pusat kota.",positif
263,Air mati tidak bisa mandi semoga city Hotel bisa memberikan pelayanan lebih baik lagi...demi kenyamanan tamu dan kesuksesan hotelnya.,positif
264,"Hotelnya bersih, bangunannya sepertinya bangunan baru, fasilitas parkir lmyn luas, ada kolam renang&fasilitas kebugaran lainnya, overall lumayan oke laahh",positif
265,Kamarnya luas. Tapi interiornya agak old. Breakfast nya juga nggk banyak pilihan. Suara burung nya lumayan lah. Ngebangun suasana.,positif
266,Harga terjangkau strategis dkt rumah sakit pasar..fasilitas lengkap cuman sayang menu sarapannya ga ada lauk ayam atau daging dan sedikit,negatif
267,"Receptionist kurang ramah ga ada senyum2 nya sma sekali, lampu remang,wc bau pengap, kmar standar jendelanya d atas biar apa??",positif
268,"Water heater gak lancar, kolam renang licin, air kolam kotor daaannnn kolong kaaur kamar kotorrr abis jorok!",negatif
269,Lokasi yg strategis..pelayanan nya bgs.. Ramah..makanan kurang variatif.. fasilitas msh dlm pembangunan jd belum lengkap cuma ada gymcenter,positif
270,Bagus tapi pembangunan belum beres/rapi 100 %. Masih ada renovasi sana sini dan kurang tertibnya pembagian free sarapan untuk tamu.,positif
271,"Hotel baru 2016 tapi kurang perawatan, kualitas bangunan juga kurang baik sehingga dinding kotor dan gelap. Ayo ditingkatkan pelayanan dan kualitas kamarnya",negatif
272,"Kerenlah sesuai dgn harga...,,  klu untuk breakfastnya.. Hmmm... Mending kulineran sendiri aja disekitaran lebih puas",positif
273,"Ramah pelayanannya, semua lengkap ada Mushola yang bersih di lantai paling atas",positif
274,Bangunan bagus tapi fasilitas kamar Kotor seperti hotel lama. Sarapan tidak sekelas hotel. Parah menunya,positif
275,"Menyediakan banyak ruang rapat sehingga kegiatan kantor terakomodir, dekat dengan kantor, tetapi toilet umum kurang diperhatikan kebersihannya",negatif
276,"Tempatnya bagus, bersih, rapi. Kamar mandi aja sedikit kotor, tp overall cukup nyaman.",positif
277,Hotelnya nyaman bersih dan indah .. Cocok buat yang mau bermalam menikmati suasana malam kota tasik yang sunyi,positif
278,"Hotelnya bersih, nyaman, ada kolam renangnya dengan view dan konsep yg luar biasa, fasilitas lengkap dengan musola",positif
279,"Mungkin buat fasilitas kamar mandi nya aga di bersihin dikit sih ga terlalu kotor atau gimana,tapi buat kenyamanan pelanggan saja",negatif
280,"Hotel luas,bersih,hanya sedikit kurang perawatan dibagian umumnya.
Kamar bersih dan luas
Letak strategis didekat kota dan mayasari plaza.",positif
281,Pelayanan cukup baik.. kolam renangnya 1/10.. makanannya 3/5... Kalau buat harga bagus bangetttt... Makasih yaa,positif
282,"Tidak nyaman dengan musik yang mengganggu hingga malam, dan kecewa dengan sarapan yg tidak direfill saat makanan tertentu sudah habis",negatif
283,Saya ke sini biasa gym lumyan lakh buat berkeringat,positif
284,"Kamar bagus ada breakfest,tempat fitnes kolam renang sama sauna ada pokonya mantap City hotel,,,jaya terus City hotel",positif
